직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
엔지니어링,전직원,경북,2022. 03,5.0,"""사원들에게 아끼지 않고 지원을 잘해주는 회사 식비, 교통비, 거주비지원 등등 다양한 복지 및 혜택이 있어서 인적 자원을 소중히 여긴다고 생각함""","
스타트업답게 평등하고 서로 존중하는 문화입니다 ceo및 헤드급의 실무진들의 인성과 실력이 매우 돋보이고 신입으로 들어가도 배울점이 많고 경력자로 가도 함께 시너지를 내기 좋은회사라고 생각합니다. 서울숲에 위치하다보니 교통편도 매우 좋고 현재 시리즈 b까지 투자를 받은 좋은 회사입니다
","
스타트업이다보니 강요하진않지만 야근과 주말 근무가 불가피한 상황이 많았습니다. 개인의 자유 및 워라벨을 존중하나 초기 스타트업으로서 어쩔수없는 모두의 자발적 희생이 필요한 회사라고 생각합니다
","
it기업이다보니 it신입을 많이 뽑는것을 이해하나 다른 직무에서도 많은 신입을 뽑는다면 더 좋을거같습니다
"
개발,전직원,서울,2022. 02,5.0,"""자유로운 분위기와 도전의 기회가 많다. 대신 그만큼의 책임이 따른다. 지시 받기 보다는 내가 찾아서 일을 해야 한다.""","
로봇이라는 성장가능성이 큰 산업에서 다양한 경험을 해 볼 수 있다. 팀원들이 좋다. 실력이 정말 월등하게 좋은 분이 있어서 많이 배웠고, 본받고 싶은 분들도 있었다. 코로나로 재택근무가 많고 재택근무가 자유로웠다. 실력이 좋고 면접은 잘 봤다면 현재보다 훨씬 좋은 조건으로 이직할 수 있는 곳이다.
","
아직 다른 스타트업에 비해 복지가 좋지는 않다. 관심이 없는 것은 아닌 것 같은데 부족하다. 롤이 명확하지 않고 작년에 사람들이 많이 입사해 급격하게 인원이 늘고 있다. 올해 200명까지 가지 않을까 생각한다. 일할 때는 커뮤니케이션과 업무파악이 안되는 것 같다. 업무를 누가 나에게 가르쳐주기 보다 알아서 찾아서 해야 한다. 스타트업을 잘 알고 경력이 5년 이상이라면 추천하지만, 신입이나 대기업에서 오래 근무했다면 적응하기 어려울 것이다. 회사 기대치가 높아 성과가 안 좋다면 좋은 평가를 받을 수 없다. 영어는 필수로 해야 한다.
","
자율과 책임을 강조하는 마인드와 회사 비전 그리고 로봇산업의 성장을 좋게 봅니다. 하지만 인원이 늘어날 수록 조직문화를 잘 챙겨야 합니다. 노력하는 건 보이지만 HR인원이 없어 개선되는 건 없었다는게 아쉬웠습니다. 인원이 늘어나고 급격히 성장할 수록 내부를 잘 챙기는 것이 중요하다고 생각합니다. 사람부터 뽑고 생각하자는 생각이었을 수도 있고, 빠르게 성장할 거라고 생각을 못했을 수도 있는데, 업무체계, 조직문화, 복리후생에 대해 깊게 고민하고 빠르게 개선해 나가지 않으면 좋은 분들이 오래 계실 수 있을까 하는 의문이 듭니다. 다른 사유로 퇴사를 하게 되었지만 회사에 있는 동안 많이 배웠고 좋은 기억만 남아있어 응원해주고 싶습니다.
"
영업/제휴,현직원,서울,2022. 02,2.0,"""계속 점점 힘 빠지고 있는 회사에요 미국에 비해 후순위인게 느껴집니다.""","
인터넷 뉴스로만 쉽게 볼 수 있습니다. 간식이 많나요
","
많은 경쟁사들이 오고있어 적응을 못하고있다제품경쟁력 글쎄
","
열심히 하시는것도 좋지만결과가 좋아야할것같습니다.
"
기획/경영,현직원,서울,2022. 02,5.0,"""서비스 로봇 산업의 리더로 뛰어난 기술력과 미래 성장성을 지닌 기업""","
수평적 기업 문화, 배우고 성장할 수 있는 근무환경, 친근하고 능력있는 동료들, 경쟁력 있는 급여와 스탁옵션, 속해있는 산업의 성장성
","
H/W가 동반된 산업이므로 실수 없이 정확한 일처리와 일정 준수 기반한 업무 진행이 중요. 이로 인한 스트레스는 있을 수 있음
","
신제품에 대한 직원들의 아이디어를 다양하게 수용하고 새로운 시도를 많이 허용해줄 필요 있음 (회사 성장에 따라 이런 여력이 생기면)
"
영업/제휴,현직원,서울,2022. 01,4.0,"""직무나 경력에 관계없이 모두가 주도적으로 일하되 과정을 투명하게 공유하고 소통해야하는 곳. 새로운 분야의 기술을 개발하는 회사인만큼 틀에박힌 사고보다는 열려있는 사고와 시각을 갖고있는 사람이 재밌게 일할 수 있는 곳.""","
자유로운 분위기. 출퇴근 눈치안봄. 성과 위주의 퍼포먼스 평가. 어떻게 프로젝트를 리드하고 의미있는 결과를 만들어내는지가 중요. 바쁠때는 야근도하지만 다들 합리적으로 일하려는 분위기. 커리어 점프할 수 있는 기회가 열려있음.
","
경력자들은 다른 회사도 다녀봐서 알겠지만 여기가 꽤 합리적인 회사라는거 공감할것같음. 재택 병행하고 있어서 다 같이 모일 기회가 많지 않다는정도.
","
이미 좋은 기업문화가 있다고 생각합니다. 잘 안착할 수 있게 신경써주시면 좋을것 같습니다.
"
개발,현직원,서울,2022. 01,4.0,"""높은 성장의 기회, 시작하는 만큼 내가 해야할 일이 많고 할 수 있는 일이 많은 곳.""","
도전할 것이 많고 다양한 경험을 찾을 수 있다. 주체적으로 업무를 진행하고 싶은 사람에게는 본인의 의견으로 업무를 진행하며 업무의 범위를 넓힐 수 있다. 연차/ 출퇴근 자유로우며 넘치는 간식도 꽤 꿀임
","
주체적으로 업무를 진행할 수 있는 만큼, 먼저 의견제시를 해본 적이 없거나 top-down에 익숙해져 있으면 업무와 회사 분위기에 적응해나가기 힘들 수 있음. 맞추어가는 단계인만큼 시행착오가 있기는 함.
","
롱런을 위해 이제 좀더 기반을 탄탄히 다지고, 좋은 인재들이 더 많이 합류할 수 있으면 좋겠습니다.
"
기획/경영,전직원,서울,2022. 01,1.0,"""실리콘밸리 스타트업이란 언플에 낚였는데 현실은 반도의 흔한 대기업 하청 제조업체. 한국쪽 주사업은 SI. 배달 로봇을 만들지만 업무 배달은 안습으로 로봇 만들다 로봇이 될 수 있슴""","
컴터 기종 원하는 걸로 사줌연봉이랑 스톡은 적절하게 맞춰주는 편식대 지원 굳 점심 식대 만 원, 야근하면 식대 만 오처넌까지 지원해줘서 성수동 핫플 맛집 도장깨기 조음. 간식 많이쥼영어로 업무. 미국 유학생 출신들이 워크 퍼밋 받기 조음언플보고 고스펙 고학력 입사자들이 계속 들어옴제조업의 뜨거운 맛을 인정하고 하드웨어 경험할 목적이라면 괜춘
","
규모가 작을 때랑 지금과는 상황 자체가 다른데 체계를 갖출 생각이 음슴. 지금까지 (사람 갈아서) 이렇게 굴러왔으니 여기 스타일대로 일하라 함. 입사부터 퇴사까지 고구마. 입사를 하는건지 퇴사가 되는건지 오리무중. 겨우 입사하고 나서도 인수인계 따위 음슴. 여기저기 수소문해 이사람 저사람 찾아 다니며 자료 요청하면 만들어놓은 자료도 없거니와 여긴 중소라서 그딴거 없다고 짜증냄실무자 한명 당 업무 범위가 태평양급으로 넓은데 업무 분장과 체계가 없어 관련자들 여기저기 콘택해서 정보 모으고 조율하는 시간이 더 많이 걸려 정작 실무할 시간이 음슴. 거기에 훈수 두는 중간 관리자가 여러명 붙어 여기 저기 컨펌 받느라 시간 다가고 교통 정리도 안댐. 당연히 그들끼리도 소통이 안댐. 물론 책임 전가는 모두 실무자에게어느정도 소통이 안되냐면 한 예로 한 직원한테 부탁을 했더니 며칠 동안 대답을 안함. 하기 싫어서 회피하는 줄 알고 다른 사람한테 맡기겠다고 하니 자신에게 날짜를 안정해주고 물어봤기 때문에 대답을 안한 것이라고 함. 그러면서 내 직군 사람들이 디테일하지 못하다고 깜. 황당했지만 비싼 밥 사주고 진행하기로 했는데 아무말 없다가 당일되니 못한다고 파토1년 이상 다니면 관리자로 진급하는 구조로 고인물 중간 관리자들이 관리/실무 경력 모두 짧고 제조에 포커싱이 되있어 IT쪽 업무나 프로세스를 잘 모름. 업무 요청을 어떻게 해야될 지도 모르거니와 질문하면 묻지 말라는 고압적인 분위기 형성하며 기본적인 자료나 설명도 안주고 완장질만 하려 함. 설명을 못하면 질문 답변이라고 제대로 해주던가 질문 내용을 이해 못하면 솔직하게 설명 해달라고 해서 이해를 하던가 그것도 아니면 딜리버리라도 제대로 하던가. 일정 조율 마저 못해 들어오는 업무란 업무는 다 던져주고 빨리 뽑아내라고 쥐어짜는게 땡. 엉뚱한 오더를 내려놓고 이게 아니라고 우기거나 왜 니가 먼저 나한테 와서 질문 안했냐고 왈왈 짓는데 대환장 파티기존 인력 그들만의 리그 존재. 야근,주말 근무 당연시. 돔황챠
","
SI 특성상 스피드가 최우선인건 알겠지만 체계와 프로세스 없이 퀄리티 떨어뜨려가면서 대충 빨리 작업하면 후에 누수 작업이 산더미같이 쌓이는 것도 고려해주셨으면 했습니다. 새로 들어오는 사람들이 그 응가 처리 하기 너무 힘들어요 신입 인턴들이 대부분이고 전반적으로 경력자들은 들어와서 1년채 안넘기고 그 전에 신속히 탈출하는데 회사 입장에서도 손해라고 생각합니다. 새 술은 새 부대에 담아야 회사가 더 성장하고 뻗어나갈 수 있습니다.
"
기획/경영,현직원,서울,2021. 12,4.0,"""로봇 스타트업 회사로 현재도 앞으로도 유망하다.""","
수평적 문화를 자리 잡고 있어 큰 장점이다. 권의주의적 문화가 없다. 상호 우대 관계가 돈독하다. 앞으로 전망이 유망하다.
","
소통의 어려움이 있다. 소수의 판단으로 업무 진행이 되어 합리적인 결정이 다소 안 되는 것이 단점이다.
","
합리적인 판단 결정을 위한 협의체가 필요하다.
"
엔지니어링,전직원,서울,2021. 09,4.0,"""너무너무너무좋음., 배울게 많음, 많은 것을 경험할 수 있음""","
업무분담 체계적임., 배울게 많음. 사람이 좋음, 미국에도 지사가 있어 영어 실력 향상됨
","
연봉이 적음. 그것 말고는 딱히 없음, 위치는 좋으나 서울 집값이 비쌈
","
직원들의 노력에 비해 연봉이 적음 올려줬음 좋겠다
"
개발,전직원,서울,2021. 09,5.0,"""매우 좋은 스타트업 문화를 가지고 있습니다. 성장하고 있는 회사입니다.""","
자신의 역할만 한다면, 어떤 일을 하던지 크게 관여하지 않습니다. 자신의 의견 반영을 충분히 할 수 있을 정도로 개방적인 문화를 가지고 있습니다. 인턴인데도 불구하고 다양한 방면에서 작업을 할 수 있었으며 영향력있게 일했다는 것이 특히 좋았습니다.
","
스타트업인 만큼 자신의 역할 다해주어야 합니다. 역량에 따라서 일의 양이 달라질 수 있습니다. 주도적이지 않으면 관심을 못 받을 수 있습니다.
","
사내 복지를 더 탄탄히 가져간다면 더욱더 좋은 회사가 될 것 같습니다. 또한 미국에서의 수평적 분위기가 한국 본사에서도 유지될 수 있도록 최선을 다하면 좋을 것 같습니다.
"
