주요 업무,자격요건 및 우대사항
 콴텍 iOS 앱 개발 기획자 디자이너등 팀원과의 협력을 통해 앱의 기획 협의 적합한 앱 개발 의견 제시 사용자 입장에서 산출물 테스트 양질의 코드와 서비스 제공,iOS Native 개발 2년 이상의 경험 혹은 그에 준하는 역량이 있으신 분 iOS 플랫폼에 대한 이해도를 가지신 분Swift에 대한 이해를 갖추고 능숙하게 사용이 가능한 분원활한 커뮤니케이션 및 협업 능력을 갖추신 분RxSwift RESTful API 사용 경험이 있는 분디자인 패턴 적용 경험 및 성능 최적화에 능숙한 분앱 스토어 런칭 및 서비스 운영 경험이 있는 분적극적인 코드 리뷰를 통한 협업 및 코드 개선 경험이 있는 분 포트폴리오 있다면 첨부하셔서 본인의 가치를 높이시길 바랍니다 
 Application 개발 콴텍의 상품과 관련된 고객채널 매매 서비스를 개발 운영 Open API 직접 통신을 이용한 B2B 서비스를 개발 운영, OS  리눅스 유닉스 Python C언어 Application 개발 경험 Shell 프로그램 개발 경험 Oracle Mysql등 RDBMS 능숙한 활용 대용량 데이터 분석 처리 경험 금융뱅킹 증권 Pay 등 관련 서버개발 경험 WAS 서비스 경험이 있는 분
자사 iOS 어플리케이션 신규 개발 및 운영,아키택쳐 프레임워크 라이브러리에 욕심이 있으신 분 TDD 방법론으로 개발을 즐기시는 분 코드 개선을 위한 어플리케이션 구조 설계 코드리뷰 등 품질향상을 위한 활동에 적극적이신 분 협업과 커뮤니케이션이 원활하신 분 좋은 개발 문화 만들기에 관심이 있으신 분
파수의 다양한 제품솔루션의 모바일 앱 개발을 담당합니다 Flutter framework 기반의 모바일 앱 개발 Android 및 iOS 네이티브 SDK를 활용한 개발, 개발 경력 3년 이상 iOS 및 Android의 UXUI 가이드라인에 대한 이해 MVVM 디자인 패턴 사용 경험 Retrofit 등의 대중적인 라이브러리 사용 경험 주요 기술 역량 Java flutter Swift RxSwift Storyboard MVVM Android Architecture Component AWS Service Google Service AWS  Google 등 다양한 Cloud 서비스 경험 오픈소스 및 신기술 학습에 관심 Flutter 개발 경험
 올리브 디바이스와 연동하는 어플리케이션 개발 및 유지보수 사용자 친화적인 헬스케어 신규 컨텐츠 개발 어플리케이션 테스트 배포 및 스토어 관리, 경력  경력 5년  7년팀원급 Swift와 SwiftUI에 능숙하신 분 스토어에 앱 배포 및 운영 경험이 있는 분 iOS개발 또는 aOS개발 경력을 보유하신 분  디버깅에 대한 기본지식과 관련 도구 사용 경험이 있는 분 즉시출근 가능자 영어가능자 일본어가능자
 안드로이드 앱 개발 및 유지보수 안드로이드 플랫폼에 대한 이해와 최신 기술 동향 파악 팀원들과의 협업을 통한 프로젝트 수행, 안드로이드 개발 경력 3년 이상 Java Kotlin Gradle 등 안드로이드 개발 관련 기술에 대한 이해가 있는 분 CICD 등 안드로이드 개발 프로세스에 대한 이해가 있는 분 뛰어난 문제 해결 능력과 분석 능력을 지닌 분 능동적이고 책임감 있는 자세를 지닌 분 유연한 커뮤니케이션 및 협업 능력을 지닌 분 오픈 소스 프로젝트 참여 경험
 여신티켓 서비스 iOS 앱 개발, iOS 네이티브 앱 개발 3년 이상의 개발 경험이 있으신 분   iOS 네이티브 앱 프로젝트 시작과 배포까지 싸이클 경험이 있으신 분   Unidirectional Data flow에 대한 이해를 갖추 신 분   iOS 최신 트렌드를 이용한 개발 경험을 보유하고 계신 분   문제가 생겼을 때 발빠르게 대처할 수 있는 디버깅 스킬을 갖추신 분   분업과 협력을 통한 훌륭한 팀워크 및 커뮤니케이션 능력을 갖추신 분   최신 기술에 지속적인 관심을 기울이고 계신 분   형상관리 도구 사용 경험 RESTful API에 대한 이해를 갖추신 분   다양한 아키텍쳐 및 코드 패턴에 대한 이해를 갖추신 분   코드베이스로 UI 작성이 가능하신 분   코드 개선 및 코드 리뷰에 대한 깊은 관심이 있으신 분   유닛 테스트 및 UI 테스트 작성 경험을 보유하고 계신 분   슬랙  jira 등 이슈관리 도구 경험
 안드로이드아이폰 앱 개발 및 운영 ObjectiveCSwiftAndroid Java Kotlin, APP 서비스 출시 경험 보유자 Restful API 연동 경험 보유자 협업에 익숙하고 커뮤니케이션이 원활한 분 Hybrid APP 개발 경력 우대 React native  flutter 개발 경력 우대
 펫 플랫폼 iOS 신규 기능 개발  유지보수, iOS 개발 3년 이상 해보신 분 Swift 언어 3년 이상 사용해보신 분 iOS Native Application 개발 해보신 분 Rxswift 사용 경험이 있으신 분 VIP  VIPER 아키텍쳐 사용 경험있으신 분 Alamfire  Realm  Firebase 등 사용 경험 있으신 분 앱 성능 최적화에 관심 있으신분 Clean Code에 대해 관심이 있으신 분 Slack  Jira Confluence CICD  사용 경험 있으신 분
 코인원 iOS 앱의 신규 기능 개발 및 유지 보수 코드 품질 보장을 위한 개발 파이프라인 상의 리팩토링 단위테스트 통합테스트 작성, iOS 개발 경력 5년 이상 15년 미만이신 분 Swift 개발 경험 code base UI에 대한 경험이 있으신 분 Reactive programming에 대한 이해 RxSwift 사용이 가능하신 분 MVVM 패턴에 대한 활용과 개발 경험이 있으신 분 Websocket http CDN을 사용한 네트워크 모듈에 대한 제작 경험이 있으신 분 스레드와 비동기 입출력에 대한 이해도가 있으신 분 iOS 플랫폼에 대한 이해가 있으신 분 원활한 커뮤니케이션 능력과 능동적인 협업 자세 코드리뷰 문화에 긍정적인 태도를 갖고 계신 분 증권사 업무에 경험이 있으신 분 Firebase 연동 및 crashlytics 분석에 경험이 있으신 분 자료 구조와 알고리즘에 대한 이해와 실무 적용에 경험이 있으신 분 앱 프로파일링 및 최적화 능력이 있으신 분 Architectural pattern design Pattern에 대한 이해와 적용이 가능하신 분
