주요 업무,자격요건 및 우대사항
   지속적인 시장 조사와 고객 피드백 유저 리서치를 통해 새로운 기회를 찾아내고 제품에 반영합니다  VESSL AI의 비즈니스 목표와 정렬된 제품 전략을 수립하고 로드맵을 세울 수 있으며 고객에게 가치가 전달되는 과정까지 실행하고 추진합니다  고객사와의 커뮤니케이션을 통해 지속적으로 제품에 대한 요구사항과 피드백을 수집하고 개발과 개선이 필요한 사항을 구체적으로 기획하여 중요도에 따라 수행합니다  개발 디자인 ML 연구자로 구성된 제품 조직과 함께 제품을 개선하는 과정을 이끌어 나갑니다, AI 기술 및 관련 산업 트렌드에 대한 전반적인 이해와 관심이 있으신 분 소프트웨어 분야에서 제품 기획자Product OwnerProduct Manager로 5년 이상의 경험을 가지고 계신 분 소프트웨어 기반 제품 기획에서 출시까지 전체 사이클에 대한 깊은 이해도가 있으신 분 단계별 요구사항과 목표 계획을 수립하고 능동적으로 실행할 수 있으신 분 기술적 배경 지식이 부족한 청중에게도 기술적인 내용을 풀어서 설명하고 소통할 수 있는 커뮤니케이션 스킬을 가지고 계신 분  엔터프라이즈 대상 B2B 소프트웨어 프로젝트 경험  AIML 분야에서의 업무 경험 혹은 높은 이해도     PyTorch TensorRT CUDA VertexAI Sagemaker Kubeflow 등의 키워드에 대한 배경 지식 이해도 혹은 사용 경험     MLOps LLMOps의 구성 요소들과 역할에 대해 설명할 수 있는 이해도  엔지니어링 UXUI 마케팅 PM 등 다양한 직군과 협업하여 제품을 만들어낸 경험
콘텐츠 마케터는 데이터 기반으로 현 상황을 정의 분석하고 새로운 크리에이티브로 감도 높은 브랜딩과 매출 퍼포먼스를 모두 고려한 콘텐츠를 기획하고 제작하는 역할을 담당합니다 국내 뿐 아니라 미국 일본까지 확장할 수 있는 포지션입니다업무 예시 콘텐츠 소구포인트 카피 이미지 등 실험 및 효율 개선 가설 기반의 광고 CRM 상세페이지 콘텐츠 기획 인플루언서 협업 콘텐츠 기획 촬영 기획 제작 일정 관리, 콘텐츠를 통한 매출 및 ROAS 개선 경험 구조적인 논리적 흐름으로 문제를 정의하고 해결하시는 분 업무에 대한 높은 책임감과 꼼꼼함을 가지신 분 빠른 실행력을 가지신 분 원활한 커뮤니케이션을 통한 협업 능력을 가지신 분 스타트업 업무 경험 커머스 업계의 높은 이해도
 자사몰 MD 업무 보조 자사몰스마트스토어톡스토어 상품등록 및 수정 네이버 상품 노출 모니터링 및 리셀러 관리 월별 리뷰 이벤트 진행 자사몰 프로모션 기획전 이벤트 운영 보조, 성실한 태도와 높은 책임감이 있으신 분 신중하고 꼼꼼한 성격으로 실수가 적으신 분 일정 관리 능력이 뛰어나신 분 자사몰 AMD 업무 경험이 있으신 분 카페24아임웹 활용 경험이 있으신 분 스마트스토어카카오톡스토어 활용 경험이 있으신 분 다양한 직무와의 협업 경험이 있으신 분
 자사몰스마트스토어톡스토어 운영 관리 주요 지표 성장을 목적으로 자사몰 프로모션 이벤트 기획전 기획 및 운영 네이버 스마트스토어 이벤트 기획전 신청 및 운영 카카오 톡스토어 이벤트 기획전 신청 및 운영 월별 쇼핑라이브 기획 및 운영 네이버카카오 상위노출 전략 수립, 관련 경력 2년 이상 자사몰 프로모션 기획 및 운영 경험이 있으신 분 네이버카카오 이벤트 기획전 신청 및 운영 경험이 있으신 분 마케팅 디자인 등 다양한 직군과 원활한 커뮤니케이션이 가능하신 분 센스있는 카피라이팅 및 콘텐츠 기획 능력이 뛰어나신 분 꼼꼼하고 체계적인 업무스타일을 보유하신 분 D2C 커머스 재직 경험이 있으신 분 쇼핑라이브로 성과를 낸 경험이 많으신 분 카페24아임웹 등 호스팅 서비스 활용 경험이 많으신 분 네이버카카오 상위노출 경험이 많으신 분
 외부몰 MD 업무 보조 채널별 상품등록 및 수정 채널별 노출 모니터링 및 리셀러 관리 채널별 매출 취합 및 판매가 관리 외부몰 프로모션 기획전 이벤트 운영 보조, 성실한 태도와 높은 책임감이 있으신 분 신중하고 꼼꼼한 성격으로 실수가 적으신 분 일정 관리 능력이 뛰어나신 분 오픈마켓 AMD 업무 경험이 있으신 분 다양한 직무와의 협업 경험이 있으신 분
 외부몰 채널별브랜드별 매출 목표 및 판매 전략 수립 주별월별 오픈마켓폐쇄몰 프로모션 기획전 이벤트 기획 및 운영 오픈마켓폐쇄몰 신규 채널 입점 채널별 담당자 커뮤니케이션 노출 구좌 제안 매출 데이터 분석 일자별주별월별 가격 및 이익률 관리, 관련 경력 2년 이상 외부몰 채널별 기획전 프로모션 이벤트 전략 기획을 통한 매출 개선 경험이 있으신 분 오픈마켓폐쇄몰 신규 채널 영업 경험이 있으신 분 다양한 직군과의 커뮤니케이션과 협업에 강점이 있으신 분 능동적인 업무 스타일을 보유하신 분 꼼꼼한 성격으로 업무 체계화 및 정리에 강점이 있으신 분 팀 리드 경험이 있으신 분 오픈마켓폐쇄몰 채널 담당자 네트워크를 풍부하게 보유하신 분 특정 채널에서 카테고리 1등 경험이 있으신 분 카카오선물하기 올리브영 채널 신규 입점 및 운영 경험이 있으신 분 키워드 SEO 최적화 및 데이터 분석활용 능력이 있으신 분
 상품별 쿠팡 채널 매출 목표 및 판매 전략 수립 주별월별 쿠팡 MD 커뮤니케이션 프로모션기획전이벤트 운영 상품 등록 및 운영 관리 쿠팡 상품광고브랜드광고 집행 상위 노출 전략 기획 매출 데이터 분석 일자별주별월별 가격 및 이익률 관리, 쿠팡 채널 MD 경력 2년 이상 쿠팡 프로모션 기획전 이벤트 기획을 통한 매출 개선 경험이 있으신 분 쿠팡 상위노출 업무 경험이 있으신 분 다양한 직군과의 커뮤니케이션과 협업에 강점이 있으신 분 능동적인 업무 스타일을 보유하신 분 꼼꼼한 성격으로 업무 체계화 및 정리에 강점이 있으신 분 팀 리드 경험이 있으신 분 쿠팡 상품광고브랜드광고 운영 경험이 풍부하신 분 키워드 SEO 최적화 및 데이터 분석활용 능력이 있으신 분
 판매 채널 별 상품 등록 및 관리 물류 트래킹 및 관리 CS, 학력 및 경력 무관 유관 업무 경력 3개월 이상 엑셀 또는 스프레드시트 활용능력 우수자 커뮤니케이션 능력 우수자
B2B 커머스 산업과 시장에 대한 이해를 기초로 1 B2B 전용 커머스 프로모션 배너 및 이벤트 페이지 컨텐츠를 직접 기획하고 제작합니다2 사용자 경험 향상을 위한 서비스 디자인 방향성을 수립하고 운영개선합니다,기술 지식 스킬 경험 4년제 대학 졸업 예정자 및 기졸업자 디자인 전공자 혹은 그에 준하는 경험을 가지신 분 피그마 포토샵 일러스트레이터 활용이 가능하신 분태도 주어진 업무에 대한 디테일적인 접근과 꼼꼼한 업무 처리가 가능하신 분 고객 중심으로 사용 경험에 대한 불편함을 발견하고 이를 해결하고자 하는 의지가 강하신 분 열정적인 자기 성장 욕구가 있으신 분 커머스에 대한 이해나 관심이 높으신 분
 마케팅 전략 수립 마케팅 기획 마케팅 집행, 성장에 대한 열정이 있으신 분 전략적으로 사고하고 빠르게 실행하실 수 있는 분 주도적으로 마케팅 전략을 수립하고 기획 및 집행을 진행하실 수 있는 분을 모시고 있습니다  스타트업 및 IT 기업 경험이 있으면 좋습니다 관련 영역에서 4년 이상 경력을 보유하신 분은 우대하고 있습니다
 모바일 애플리케이션 서비스 기반 브랜드 마케팅 기획 BX 프로젝트기업 및 제품서비스 등 기획 및 전략 문서 개발 고객시장트렌드 분석 이슈 진단 및 인사이트 도출 등 전반적인 브랜드 아이덴티티 기획 개발 데이터를 기반으로 인사이트를 도출하여 마케팅 캠페인 기획을 하실 수 있는 분, 관련 업무 경력 3년 이상이신 분 기획과 함께 관련 디자인 가능자 제품 개발을 위한 데이터 분석 및 인사이트 도출 고객 커뮤니케이션을 위한 온오프 프로모션 기획 및 운영 경험이 있는 분 타겟의 공감을 이끌어 내는 스토리텔링에 강점이 있으신 분 배려와 협동을 바탕으로 적극적으로 타부서와 협업하실 수 있는 분 포트폴리오 제출 필수 용량 50MB 이하 비즈니스 및 브랜드에 대한 이해가 풍부하며 유연한 소통이 가능한 분 브랜디드 콘텐츠에 대한 이해와 카피라이팅 역량이 우수한 분 미디어와 트렌트에 빠르게 반응하고 관심이 많으신 분
 퍼포먼스 마케팅 실행 및 데이터 분석 페이스북 인스타그램 구글 광고로 고객 리드 발굴 광고 전략 수립 및 데이터 기반 마케팅 새로운 퍼포먼스 마케팅 제안 및 운영 구글 페이스북 네이버 광고 Self Serve, 퍼포먼스마케팅 경력 1년 이상 있으신 분 본인의 결과물로 정량적인 성과를 획득한 경험이 있는 분 DB 게더링 DB 마케팅 퍼포먼스 마케팅을 경험한 분 Meta 광고 작업에 능숙하신 분
  그로스마케팅 팀 목표와 전략 수립 및 실행 리드 마케팅 예산의 효율적 배분 팀 리더로서 그로스 마케팅 팀 팀원들의 성과 극대화     팀원은 퍼포먼스 마케터 AE 데이터 애널리스트 등으로 구성 채용 피드백 평가 등 팀 리더 역할조직 특성 상 메디빌더 관계사자회사 소속이 될 수 있습니다, 퍼포먼스 마케팅 경력을 포함하여 최소 경력 3년 이상 보유한 분 경력 연수보다 실제 성과를 중시합니다 팀 리딩 경력 최소 1년 이상 보유한 분 팀의 목표를 설정하고 목표 달성을 위해 팀을 이끄는 분 업무의 우선순위화와 집중하는 능력이 탁월한 분 다양한 업무 관계자와 소통하여 최고의 결과를 도출하는 분 집요한 고객 관점에서 소비 심리를 도출 가능한 분 적극적인 문제해결력을 바탕으로 보다 높은 수준의 결과물을 도출하는 분 유효한 피드백과 의견을 수용하여 더 나은 결과물을 만들어내는 분 미디어커머스 회사 경력을 보유한 분  온라인마케팅 대행사 경력을 보유한 분  병원 마케팅 대행사 경력을 보유한 분
